cv_cid,course_pretitle,course_title,course_description
7CRXZBIZG3065FGF1EX7,CU.MOOC.012.02 (2017/2),Thai on campus รุ่นที่ 2,"‘Thai on Campus’ online course provides you lessons on informal conversations,vocabularies and idioms about greetings, food ordering and CU students’ clothing."
I8DFH7UV5ZTLVFVIRXU3,CU.MOOC.014.02 (2017/3),Introduction to Data Analytics and Big Data รุ่นที่ 2,รายวิชา Intro to Data Analytics and Big Data จะเป็นการศึกษาเกี่ยวกับศาสตร์แห่งการวิเคราะห์ข้อมูล โดยแบ่งเนื้อหาออกเป็น 2 ส่วน คือ Data Analytics หรือที่นิยมเรียนกันว่า DATA SCIENCE และ Big Data โดยจะเรียนรู้วิธีการวิเคราะห์ข้อมูลได้อย่างไร รวมถึงเทคนิคที่สามารถนำข้อมูลมาใช้งานได้ แม้กระทั่งขั้นตอนวิธีการทำงานหรือเรียนรู้เกี่ยวกับเครื่องมือที่ใช้ในการทำงาน ทั้งนี้ผู้สอนได้รวบรวมกรณีศึกษามานำเสนอให้ผู้เรียนได้เรียนรู้ไม่ว่าจะเป็นข้อมูลด้านการศึกษา ข้อมูล Social Online รวมไปถึงข้อมูลในรูปแบบแผนที่ และสุดท้ายจะแนะนำการทำ workshop ด้วยโปรแกรม rapidminer
UMF4ZAMAJ3UAKSY5URJR,CU.MOOC.018 (2017/3),เรื่องสิ่งแวดล้อมเรื่องของเรา Food-Water-Energy NEXUS,รายวิชา เรื่องสิ่งแวดล้อมเรื่องของเรา จะมีเนื้อหาเกี่ยวกับการเผยแพร่ความรู้พื้นฐานที่เกี่ยวกับสิ่งแวดล้อมรอบตัวมนุษย์ โดยมุ่งเน้นให้ผู้เรียนได้มีโอกาสเรียนรู้จากประสบการณ์จริงในสถานที่ต่างๆ ควบคู่ไปกับการเพิ่มพูนความรู้จากศาสตร์ที่เกี่ยวข้องไปพร้อมกัน ซึ่งเป็นการเพิ่มทักษะในการวิเคราะห์ ทำความเข้าใจปัญหาและแนวทางการดำเนินการที่เหมาะสม ในด้านเทคโนโลยี การจัดการ และการมีส่วนร่วมในการดูแลและรักษาทรัพยากรธรรมชาติและสิ่งแวดล้อม โดยอาศัยความรู้พื้นฐานด้านวิศวกรรมสิ่งแวดล้อม มาประยุกต์ใช้ให้เกิดประโยชน์ มุ่งเน้นให้ผู้เรียนสามารถวิเคราะห์และเรียนรู้ด้วยตนเอง รวมถึงเรียนรู้การทำงานร่วมกับผู้อื่น
QRYBHUNIP0IACOIL71TG,CU.MOOC.019 (2017/3),หลักการพื้นฐานทางกฎหมายแพ่ง,รายวิชา หลักการพื้นฐานทางกฎหมายแพ่ง จะมีเนื้อหาให้ความรู้เกี่ยวกับหลักการพื้นฐานเกี่ยวกับกฎหมายอาญา โครงสร้างความรับผิดทางอาญา เหตุลดโทษ การพยายามกระทำความผิด บุคคลที่เกี่ยวข้องกับการกระทำความผิด และความผิดอาญาในบางฐานความผิดที่สำคัญ
BSMTU0C3CWZ9G56XRZJQ,CU.MOOC.022 (2017/3),เรื่องสิ่งแวดล้อมเรื่องของเรา: Environment 4.0,รายวิชาเรื่องสิ่งแวดล้อมเรื่องของเรา : Environment 4.0 จะมีเนื้อหาเกี่ยวกับการเผยแพร่ความรู้พื้นฐานที่เกี่ยวกับสิ่งแวดล้อมรอบตัวมนุษย์ โดยมุ่งเน้นให้ผู้เรียนได้มีโอกาสเรียนรู้จากประสบการณ์จริงในสถานที่ต่างๆ ควบคู่ไปกับการเพิ่มพูนความรู้จากศาสตร์ที่เกี่ยวข้องไปพร้อมกัน ซึ่งเป็นการเพิ่มทักษะในการวิเคราะห์ ทำความเข้าใจปัญหาและแนวทางการดำเนินการที่เหมาะสม ในด้านเทคโนโลยี การจัดการ และการมีส่วนร่วมในการดูแลและรักษาทรัพยากรธรรมชาติและสิ่งแวดล้อม โดยอาศัยความรู้พื้นฐานด้านวิศวกรรมสิ่งแวดล้อม มาประยุกต์ใช้ให้เกิดประโยชน์ มุ่งเน้นให้ผู้เรียนสามารถวิเคราะห์และเรียนรู้ด้วยตนเอง รวมถึงเรียนรู้การทำงานร่วมกับผู้อื่น
YQVZ25H43JGP4E8JPMR3,CU.LIC.001 (2017/3),Electroplating & Surface Finishing Technology,"รายวิชาเรื่อง เทคโนโลยีการชุบโลหะด้วยไฟฟ้าและการเคลือบผิว (Electroplating & Surface Finishing Technology) จะมีเนื้อหาทั้งหมด 8 บท โดยเนื้อหาจะประกอบด้วย 2 ส่วน คือ ส่วนความรู้ และทฤษฎีพื้นฐานที่เกี่ยวข้องกับเทคโนโลยีการชุบโลหะด้วยไฟฟ้าและการเคลือบผิว และความสำคัญของเทคโนโลยีนี้ที่มีต่ออุตสาหกรรม ผ่านตัวอย่างของอุตสาหกรรมที่เกี่ยวข้องต่างๆ โดยมีหัวข้อทั้งหมด ดังนี้
<ol><li>ความรู้เบื้องต้นของการชุบโลหะด้วยไฟฟ้าและการเคลือบผิว</li>
<li>หลักการชุบโลหะด้วยไฟฟ้าและเคมีไฟฟ้า</li>
<li>เคมีไฟฟ้าเบื้องต้น</li>
<li>ความรู้พื้นฐานของการกัดกร่อน</li>
<li>การวิเคราะห์ทางเคมีไฟฟ้าสำหรับการชุบโลหะและการกัดกร่อน</li>
<li>ภาพรวมของอุตสาหกรรมและเทคโนโลยีการชุบโลหะด้วยไฟฟ้า</li>
<li>งานชุบโลหะสำหรับอุตสาหกรรมยานยนต์</li>
<li>ความรู้พื้นฐานของการชุบฮาร์ดโครม</li></ol>"
B5XYQHON1KZWVELUCFGC,BTC4744 (2018/1),การเรียนรู้เพื่อส่งเสริมพฤติกรรมป้องกันการบริโภคผลิตภัณฑ์ยาสูบ,
5PFO922O28W1W49T7T86,CENTRAL.001 (2017/3),การตลาดในศตวรรษที่ 21 (Central),รายวิชาการตลาดในศตวรรษที่ 21 จะเป็นการศึกษาเกี่ยวกับนิยามของการตลาด แนวคิดหลักเกี่ยวกับการตลาดตั้งแต่อดีตจนถึงปัจจุบัน และการตลาดแบบองค์รวม (Holistic Marketing) ซึ่งเป็นสิ่งที่สำคัญสำหรับการตลาดในศตวรรษที่ 21
MQKOHT56SGU31VHOY1QE,CENTRAL.002 (2017/3),การทำความเข้าใจงบการเงิน (Central),รายวิชาการทำความเข้าใจงบการเงิน จะเป็นการศึกษาเกี่ยวกับองค์ประกอบของงบการเงิน ได้แก่ งบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และงบแสดงการเปลี่ยนแปลงในส่วนของเจ้าของ ประโยชน์ของแต่ละงบการเงิน ความสัมพันธ์ของงบกำไรขาดทุนเบ็ดเสร็จ งบแสดงฐานะการเงิน และงบกระแสเงินสด
FSZ5OXDS092PG0HGS584,CENTRAL.004 (2017/3),Critical Thinking for Business (Central),รายวิชา Critical Thinking for Business จะเป็นการศึกษาเรื่องกระบวนการคิด ตั้งแต่เรื่องกรอบความคิดเดิม (Paradigm) วิธีการตั้งคำถามแบบ Socratic Method และการคิดก่อนคิด (Thinking about Thinking) เพื่อคลายกรอบความคิดเดิม รวมถึงจะมีการนำเสนอเครื่องมือเพิ่มเติมในการฝึกคิด และกรณีศึกษาเกี่ยวกับกระบวนการคิดในรูปแบบต่างๆ
9KCRF279ORJRDE5FFK85,CENTRAL.008 (2017/3),การสร้าง Infographics: What & How? (Central),รายวิชาการสร้าง Infographics : What & How? จะเป็นการศึกษาเกี่ยวกับการสร้าง Infographic รูปแบบต่างๆผ่านโปรแกรม Microsoft Office : Powerpoint ได้แก่ การสร้างแผนภูมิแท่ง แผนภูมิโดนัท แผนภูมิรูปภาพ Infographic ภาพจริง รวมถึงการจัดองค์ประกอบภาพนิ่ง การเลือกฟอนท์ การคิดคำพาดหัว การทำภาพเคลื่อนไหว และการบันทึกไฟล์
JX096ZMWR6YC831QQIV9,CENTRAL.014 (2017/3),Introduction to Data Analytics and Big Data (Central),รายวิชา Intro to Data Analytics and Big Data จะเป็นการศึกษาเกี่ยวกับศาสตร์แห่งการวิเคราะห์ข้อมูล โดยแบ่งเนื้อหาออกเป็น 2 ส่วน คือ Data Analytics หรือที่นิยมเรียนกันว่า DATA SCIENCE และ Big Data โดยจะเรียนรู้วิธีการวิเคราะห์ข้อมูลได้อย่างไร รวมถึงเทคนิคที่สามารถนำข้อมูลมาใช้งานได้ แม้กระทั่งขั้นตอนวิธีการทำงานหรือเรียนรู้เกี่ยวกับเครื่องมือที่ใช้ในการทำงาน ทั้งนี้ผู้สอนได้รวบรวมกรณีศึกษามานำเสนอให้ผู้เรียนได้เรียนรู้ไม่ว่าจะเป็นข้อมูลด้านการศึกษา ข้อมูล Social Online รวมไปถึงข้อมูลในรูปแบบแผนที่ และสุดท้ายจะแนะนำการทำ workshop ด้วยโปรแกรม rapidminer
IUVK8F29KDGDF29B1FY3,CENTRAL.013 (2017/3),หลักการพื้นฐานทางกฎหมายทั่วไป (Central),รายวิชา หลักการพื้นฐานทางกฎหมายทั่วไป จะเป็นการศึกษาเกี่ยวกับความสัมพันธ์ระหว่างสังคมและกฎเกณฑ์ความประพฤติ ความหมายและลักษณะของกฎหมาย ที่มาของกฎหมาย ศักดิ์ของกฎหมาย ขอบเขตการใช้กฎหมาย การตีความและการอุดช่องว่างของกฎหมาย และประเภทของกฎหมาย
LY6LS4ZRPQBNBQ31P4N8,CENTRAL.005 (2017/3),English for Careers I: For Hotel Staff (Central),รายวิชา English for Careers I : For Hotel Staff จะเป็นการศึกษาเกี่ยวกับบทสนทนา คำศัพท์ และสำนวนที่เกี่ยวกับพนักงานโรงแรม
BPT2UVG8KMNWA319T3UH,CENTRAL.006 (2017/3),English for Careers I​I: For Restaurant Staff (Central),รายวิชา English for Careers II : For Restaurant staff จะเป็นการศึกษาเกี่ยวกับบทสนทนา คำศัพท์ และสำนวนที่เกี่ยวกับพนักงานร้านอาหาร
Y8T3NR4J6KG7A2HVDACP,CU.MOOC.017.02 (2017/3),ภาษารัสเซียเบื้องต้น รุ่นที่ 2,รายวิชา ภาษารัสเซียเบื้องต้น จะมีเนื้อหาให้ความรู้เกี่ยวกับตัวอักษร ระบบการออกเสียง ไวยากรณ์รัสเซียขั้นพื้นฐาน การฝึกทักษะด้านการฟัง พูดและอ่าน
97Q1CLKIGWEFNTWFZLIQ,CU.MOOC.020 (2017/3),ดนตรีคลาสสิกปริทรรศน์​,รายวิชา ดนตรีคลาสสิกปริทรรศน์ (Introduction to Classical Music) จะมีเนื้อหาที่ให้ความรู้เกี่ยวกับ ความหมาย ความสำคัญ รวมไปถึง องค์ประกอบของดนตรีคลาสสิก อีกทั้งยังได้รับความรู้เกี่ยวกับ เครื่องดนตรีแต่ละประเภท การรวมวง ดนตรีคลาสสิกในแต่ละยุค รวมถึงเพลงคลาสสิกที่ได้รับความนิยม หรือแม้กระทั่งความสัมพันธ์ระหว่าง จุฬาลงกรณ์มหาวิทยาลัย กับ ดนตรีคลาสสิก ว่าเป็นอย่างไรบ้าง และสุดท้ายการฟังดนตรีคลาสสิกจะไม่ใช่เรื่องยากอีกต่อไปถ้าเรารู้จักมารยาทในการฟังดนตรีคลาสสิก
1RJTD3WGX1GRFVMKS8L8,CU.MOOC.021 (2017/3),มหากาพย์ อังกฤษ อัพเกรด: ตั้งไข่ไวยากรณ์,รายวิชา มหากาพย์ อังกฤษ อัพเกรด: ตั้งไข่ไวยากรณ์ จะมีเนื้อหาที่ให้ความรู้เกี่ยวกับ เรื่อง Parts of Speech สอนให้ผู้เรียนรู้หน้าที่ของคำชนิดต่างๆ แยกคำชนิดต่างๆ ได้ โดยดูจาก suffixes สามารถนำความรู้เบื้องต้นนี้ไปใช้ได้อย่างถูกต้อง และสามารถทำโจทย์ที่ทดสอบเรื่อง parts of speech ได้ทุกรูปแบบ ไม่ว่าจะเป็นเติมคำ หรือ error identification
5A8YT3KKZLNDEKAFUC9G,CU.MOOC.023 (2018/1),มหากาพย์ อังกฤษ อัพเกรด: ไวยากรณ์พร้อมรบ,เนื้อหาที่ให้ความรู้ที่เน้นประเด็นไวยากรณ์ต่างๆ ที่ต้องใช้บ่อย รวมถึงเป็นกลุ่มที่มักพบเจอในข้อสอบ ดังนั้นจึงเน้นการสอนให้ผู้เรียนได้ทบทวนประเด็นไวยากรณ์จำเป็นที่เคยเรียนแล้ว ชี้ให้เห็นจุดที่มักพลาด รวมถึงให้ทำแบบฝึกหัดรูปแบบต่างๆ เพิ่มความพร้อมสู้ทุกสนามสอบ
49EKFHB6X4X50KIIGQ3X,CU.MOOC.003.03 (2018/1),ภาษาอาหรับในชีวิตประจำวัน รุ่นที่ 2,รายวิชาภาษาอาหรับในชีวิตประจำวันจะเป็นการศึกษาเกี่ยวกับการทักทายและการแนะนำตัว ในรูปแบบต่างๆ ตามสถานการณ์ การสนทนา โดยจะแบ่งการสนทนา ออกเป็น 4 กลุ่ม จำแนกตามสิ่งที่เกี่ยวข้องได้แก่ บุคคล สิ่งของ สถานที่ ตัวเลขและเวลา ทั้งนี้จะประกอบด้วยบทสนทนา ถาม-ตอบ การบรรยายลักษณะ การใช้กริยาคำสั่งและการขอร้อง การแสดงความเห็นและความรู้สึก เพื่อนำมาใช้ในชีวิตประจำวัน
M0IRJ9VS85X7U96SFTP3,CU.MOOC.008.CommArt (2018/1),การสร้าง Infographics What & How? (CommArt),รายวิชาการสร้าง Infographics : What & How? จะเป็นการศึกษาเกี่ยวกับการสร้าง Infographic รูปแบบต่างๆผ่านโปรแกรม Microsoft Office : Powerpoint ได้แก่ การสร้างแผนภูมิแท่ง แผนภูมิโดนัท แผนภูมิรูปภาพ Infographic ภาพจริง รวมถึงการจัดองค์ประกอบภาพนิ่ง การเลือกฟอนท์ การคิดคำพาดหัว การทำภาพเคลื่อนไหว และการบันทึกไฟล์
R0TFDH0YSS8Z1TH0LTGU,CU.MOOC.009.CommArt (2018/1),ทำอย่างไรให้สินค้า go inter ขายได้ขายดีและดังข้ามโลก (CommArt),รายวิชา ทำอย่างไรให้สินค้า go inter... ขายได้ขายดี และดังข้ามโลก จะเป็นการศึกษาเกี่ยวกับหัวใจของการสื่อสารการตลาดระหว่างประเทศ โดยจะนำเสนอแนวคิดต่างๆ และเทคนิคสั้นๆ ง่ายๆ ที่จะทำให้ธุรกิจการค้าสามารถส่งออกสินค้าไปขายทั่วโลก และจะเป็นการค้าที่ยั่งยืนต่อไป
US8Y4GR27ZCLXG1GAB1Z,CU.MOOC.001.CommArt (2018/1),การตลาดในศตวรรษที่ 21 (CommArt),รายวิชาการตลาดในศตวรรษที่ 21 จะเป็นการศึกษาเกี่ยวกับนิยามของการตลาด แนวคิดหลักเกี่ยวกับการตลาดตั้งแต่อดีตจนถึงปัจจุบัน และการตลาดแบบองค์รวม (Holistic Marketing) ซึ่งเป็นสิ่งที่สำคัญสำหรับการตลาดในศตวรรษที่ 21
HTN6K9QD73SGRMN08JHV,CU.MOOC.014.CommArt (2018/1),Introduction to data analytics and Big Data (CommArt),รายวิชา Intro to Data Analytics and Big Data จะเป็นการศึกษาเกี่ยวกับศาสตร์แห่งการวิเคราะห์ข้อมูล โดยแบ่งเนื้อหาออกเป็น 2 ส่วน คือ Data Analytics หรือที่นิยมเรียนกันว่า DATA SCIENCE และ Big Data โดยจะเรียนรู้วิธีการวิเคราะห์ข้อมูลได้อย่างไร รวมถึงเทคนิคที่สามารถนำข้อมูลมาใช้งานได้ แม้กระทั่งขั้นตอนวิธีการทำงานหรือเรียนรู้เกี่ยวกับเครื่องมือที่ใช้ในการทำงาน ทั้งนี้ผู้สอนได้รวบรวมกรณีศึกษามานำเสนอให้ผู้เรียนได้เรียนรู้ไม่ว่าจะเป็นข้อมูลด้านการศึกษา ข้อมูล Social Online รวมไปถึงข้อมูลในรูปแบบแผนที่ และสุดท้ายจะแนะนำการทำ workshop ด้วยโปรแกรม rapidminer
NQ7EIITSJJKLR6J8B1A6,CU.MOOC.010.CommArt (2018/1),IT Security (CommArt),รายวิชา IT Security จะเป็นการศึกษาเกี่ยวกับความหมายของคำว่า Security ข้อแตกต่างระหว่าง Security และPrivacy ความสำคัญของการตั้งรหัสผ่าน แล้วรหัสผ่านที่ดีควรเป็นอย่างไร รวมไปถึงเรื่องของการใช้ Social Network ที่ถูกต้อง Social Engineering การใช้ WiFi ฟรีปลอดภัยจริงหรือ และสุดท้ายมารู้จักกับ Malware Viruses และ Worms
4FGWS62JAC841KUL6OU5,CU.MOOC.024 (2018/1),มหากาพย์ อังกฤษ อัพเกรด: โค้งสุดท้ายไวยากรณ์ และการออกเสียงภาษาอังกฤษ,"รายวิชา มหากาพย์ อังกฤษ อัพเกรด : โค้งสุดท้ายไวยากรณ์และการออกเสียงภาษาอังกฤษ จะเป็นการสรุปประเด็นไวยากรณ์ที่พบบ่อยในข้อสอบ ติวเข้มสำหรับผู้ที่มีเวลาจำกัด ทบทวนประเด็นเพิ่มความมั่นใจก่อนเข้าสนามสอบ และสอนเกี่ยวกับ problem sounds, word stress และ linking sounds รวมถึงการออกเสียงเบื้องต้น"
FW6GP1Z0HFS7NKLPRODK,CU.MOOC.025 (2018/1),มหากาพย์ อังกฤษ อัพเกรด: ศัพท์ทะลุ อ่านทะลวง,รายวิชา มหากาพย์ อังกฤษ อัพเกรด : ศัพท์ทะลุ อ่านทะลวง จะสอนเกี่ยวกับรากศัพท์และ Prefixes ที่พบบ่อย รวมถึงเทคนิคการเดาความหมายคำศัพท์จากบริบท เทคนิคการอ่าน และคำถามที่พบบ่อยในข้อสอบ Reading Comprehension
H1VF4W3F9NZWLNVU0AHX,CU.MOOC.027 (2018/1),มหากาพย์ อังกฤษ อัพเกรด: Conversation มั่นใจ,"รายวิชา มหากาพย์ อังกฤษ อัพเกรด : Conversation มั่นใจ จะสอนเทคนิควิธีทำข้อสอบแนว Conversation หรือ Part ที่เรียกว่า Speaking โดยนำเสนอ Expressions, Idioms หรือ Proverbs ที่พบเห็นบ่อยในชีวิตจริง และในข้อสอบ นอกจากนี้สามารถนำไปใช้เตรียมตัวสอบได้อย่างมั่นใจ รวมถึงสามารถใช้สื่อสารในชีวิตประจำวัน"
QX9XWN33N45ATFIDLU7R,2206103 (2018/1),เคล็ดวิชาค้นคว้ากระบวนท่านำเสนอผลงาน,รายวิชา เคล็ดวิชาค้นคว้ากระบวนท่านำเสนอผลงาน จะเป็นการเรียนเกี่ยวกับทักษะการค้นคว้า รู้จักวิธีการค้นคว้าวิจัย การเข้าถึงแห่งสารสนเทศวิชาการได้ สามารถประเมินสารสนเทศ และเรียบเรียงผลงานทางวิชาการโดยสอดคล้องกับจริยธรรมและจรรยาบรรณผู้วิจัย และการอ้างอิงได้อย่างถูกต้อง
LJ7CWPS4107HO2OYEVJH,Achieve.GSB0101 (2018/1),Competing in a Data-Driven World: Understand and Know-How (ออมสิน),การเปลี่ยน โลกที่เต็มไปด้วยข้อมูล ให้เป็น โลกที่ขับเคลื่อนด้วยข้อมูล เป็นแนวคิดที่ทุกองค์กรให้ความสำคัญสูงสุดในปัจจุบัน เนื่องจากจะส่งผลให้องค์กรเป็นผู้ชนะหรือผู้แพ้ในโลกที่มีการแข่งขันกันอย่างรุนแรง แต่คำถามที่ยังหาคำตอบอยู่ก็คือ แล้วองค์กรควรจะต้องดำเนินการอย่างไรบ้าง ซึ่งรายวิชานี้จะให้มุมมองแบบองค์รวม นำเสนอแนวปฏิบัติที่เป็นเลิศ (Best Practices) รวมถึงกรณีศึกษาต่างๆ เพื่อให้ผู้เรียน เข้าใจและรู้วิธี ที่จะนำไปปฏิบัติงานจริงได้ในการเปลี่ยนรูปองค์กร (Digital Transformation) ของตนให้เป็นองค์กรที่เป็นผู้ชนะในโลกที่ขับเคลื่อนด้วยข้อมูล
G7KGARZ9Y4FSPYI8AYHA,Achieve.GSB0102 (2018/1),Data Analytics & Big Data (ออมสิน),รายวิชา Intro to Data Analytics and Big Data จะเป็นการศึกษาเกี่ยวกับศาสตร์แห่งการวิเคราะห์ข้อมูล โดยแบ่งเนื้อหาออกเป็น 2 ส่วน คือ Data Analytics และ Big Data โดยจะเรียนรู้วิธีการวิเคราะห์ข้อมูลได้อย่างไร รวมถึงเทคนิคที่สามารถนำข้อมูลมาใช้งาน ทั้งนี้ผู้สอนได้รวบรวมกรณีศึกษามานำเสนอให้ผู้เรียนได้เรียนรู้ไม่ว่าจะเป็นข้อมูลด้านการศึกษา Social Network รวมไปถึง Geospatial data
PR4N8GTOGF0HEZ1KY0CB,Achieve.GSB0103 (2018/1),Practical Data Analytics Using RapidMiner (ออมสิน),การศึกษาและวิเคราะห์ข้อมูลด้วย Machine Learning โดยใช้โปรแกรม RapidMiner เพื่อให้เข้าใจถึงความสัมพันธ์ของข้อมูล พฤติกรรมต่าง ๆ ของลูกค้า และใช้ในการทำนายข้อมูล ซึ่งจะช่วยสนับสนุนการวางแผนและตัดสินใจทางธุรกิจได้
1ZIQTAU4ZA5AR8SAHCII,Achieve.GSB0104 (2018/1),Python for Data Science (ออมสิน),ศึกษาการใช้ภาษา Pythonในระดับเริ่มต้น โดยเริ่มจากการเรียน Syntax ไปจนถึงการนำมาใช้ในการดึงข้อมูลจาก Social Network  และเตรียมข้อมูลเพื่อให้สามารถวิเคราะห์ความสัมพันธ์ และนำเสนอข้อมูลในรูปแบบต่าง ๆ ได้Objectiveเพื่อให้ผู้เรียนพัฒนาทักษะและสามารถเข้าใจภาษาโปรแกรม Python เพื่อนำมาใช้ประโยชน์กับการวิเคราะห์ข้อมูล และเพิ่มศักยภาพของผู้เรียนในการใช้วิทยาศาสตร์ข้อมูลและการวิเคราะห์ข้อมูลให้มีประสิทธิภาพมากขึ้น
SS4B1D09S76TNNBF739P,Achieve.GSB0105 (2018/1),Data Science Pathway Test (ออมสิน),
SNF5FFS045YAV05CVAUR,CU.MOOC.014.03 (2018/1),Introduction to Data Analytics and Big Data รุ่นที่ 3,รายวิชา Intro to Data Analytics and Big Data จะเป็นการศึกษาเกี่ยวกับศาสตร์แห่งการวิเคราะห์ข้อมูล โดยแบ่งเนื้อหาออกเป็น 2 ส่วน คือ Data Analytics หรือที่นิยมเรียนกันว่า DATA SCIENCE และ Big Data โดยจะเรียนรู้วิธีการวิเคราะห์ข้อมูลได้อย่างไร รวมถึงเทคนิคที่สามารถนำข้อมูลมาใช้งานได้ แม้กระทั่งขั้นตอนวิธีการทำงานหรือเรียนรู้เกี่ยวกับเครื่องมือที่ใช้ในการทำงาน ทั้งนี้ผู้สอนได้รวบรวมกรณีศึกษามานำเสนอให้ผู้เรียนได้เรียนรู้ไม่ว่าจะเป็นข้อมูลด้านการศึกษา ข้อมูล Social Online รวมไปถึงข้อมูลในรูปแบบแผนที่ และสุดท้ายจะแนะนำการทำ workshop ด้วยโปรแกรม rapidminer
7ZWXF4BD6PBEAUM94RDC,CU.MOOC.008.03 (2018/1),การสร้าง Infographics What & How? รุ่นที่ 3,รายวิชาการสร้าง Infographics : What & How? จะเป็นการศึกษาเกี่ยวกับการสร้าง Infographic รูปแบบต่างๆผ่านโปรแกรม Microsoft Office : Powerpoint ได้แก่ การสร้างแผนภูมิแท่ง แผนภูมิโดนัท แผนภูมิรูปภาพ Infographic ภาพจริง รวมถึงการจัดองค์ประกอบภาพนิ่ง การเลือกฟอนท์ การคิดคำพาดหัว การทำภาพเคลื่อนไหว และการบันทึกไฟล์
AJMXHLS4EAHHIEIBRUD2,CU.MOOC.001.03 (2018/1),การตลาดในศตวรรษที่ 21 รุ่นที่ 3,รายวิชาการตลาดในศตวรรษที่ 21 จะเป็นการศึกษาเกี่ยวกับนิยามของการตลาด แนวคิดหลักเกี่ยวกับการตลาดตั้งแต่อดีตจนถึงปัจจุบัน และการตลาดแบบองค์รวม (Holistic Marketing) ซึ่งเป็นสิ่งที่สำคัญสำหรับการตลาดในศตวรรษที่ 21
324D932IBH0ECPJJ47EZ,DPU.001.01 (2018/1),"Unicorn journey: Startup Your Own Business, Module 1",แนวคิดในการสร้างธุรกิจดิจิทัล โดยสร้างสรรค์นวัตกรรมที่มีคุณค่า แนวคิดทางธุรกิจและโมเดลทางธุรกิจที่ตอบสนองการแก้ไขปัญหาให้กับลูกค้ากลุ่มเป้าหมาย สื่อสารและสร้างความสัมพันธ์กับลูกค้าเป้าหมายอย่างสร้างสรรค์ การบริหารจัดการโลจิสติกส์ กฎหมายธุรกิจและทรัพย์สินทางปัญญา ภาษีธุรกิจ การหาแหล่งเงินทุนและบริหารความมั่นคงรวมทั้งการบัญชีเพื่อสร้างและบริหารธุรกิจดิจิทัล
BXE3RAFQUSRQYM4PDU9V,TRC.ELearning (2018/1),การควบคุมยาสูบพื้นฐาน (รอบที่ 1),
4UX4Z642DNIJ1Z37112T,CU.MOOC.026 (2018/1),การสร้างชิ้นงานจากโปรแกรมสร้างภาพสามมิติ,รายวิชา การสร้างชิ้นงานจากโปรแกรมสร้างภาพสามมิติ จะสอนเนื้อหาเกี่ยวกับการออกแบบ การสร้างชิ้นงานต่างๆ เช่น สื่อการสอน ชิ้นส่วนทางวิศวกรรม เป็นต้น รวมถึงเรียนรู้เกี่ยวกับเทคโนโลยีเครื่องพิมพ์สามมิติ
AVPWBZUG9B5RZUVH16AX,CU.MOOC.015.02 (2018/1),เคล็ดวิชาค้นคว้ากระบวนท่านำเสนอผลงาน รุ่นที่ 2,เคล็ดวิชาค้นคว้า กระบวนท่านำเสนอผลงาน จะเป็นการเรียนเกี่ยวกับทักษะการค้นคว้า รู้จักวิธีการค้นคว้าวิจัย การเข้าถึงแห่งสารสนเทศวิชาการได้ สามารถประเมินสารสนเทศ และเรียบเรียงผลงานทางวิชาการโดยสอดคล้องกับจริยธรรมและจรรยาบรรณผู้วิจัย และการอ้างอิงได้อย่างถูกต้อง
FC6VM7RQT38Z0ZI9M6W9,CU.MOOC.002.03 (2018/1),การทำความเข้าใจงบการเงิน รุ่นที่ 3,รายวิชาการทำความเข้าใจงบการเงิน จะเป็นการศึกษาเกี่ยวกับองค์ประกอบของงบการเงิน ได้แก่ งบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และงบแสดงการเปลี่ยนแปลงในส่วนของเจ้าของ ประโยชน์ของแต่ละงบการเงิน ความสัมพันธ์ของงบกำไรขาดทุนเบ็ดเสร็จ งบแสดงฐานะการเงิน และงบกระแสเงินสด
OXCDUU43OV3NQ0SF46SJ,Achieve.CAT0101 (2018/1),Competing in a Data-Driven World: Understand and Know-How (CAT),การเปลี่ยน โลกที่เต็มไปด้วยข้อมูล ให้เป็น โลกที่ขับเคลื่อนด้วยข้อมูล เป็นแนวคิดที่ทุกองค์กรให้ความสำคัญสูงสุดในปัจจุบัน เนื่องจากจะส่งผลให้องค์กรเป็นผู้ชนะหรือผู้แพ้ในโลกที่มีการแข่งขันกันอย่างรุนแรง แต่คำถามที่ยังหาคำตอบอยู่ก็คือ แล้วองค์กรควรจะต้องดำเนินการอย่างไรบ้าง ซึ่งรายวิชานี้จะให้มุมมองแบบองค์รวม นำเสนอแนวปฏิบัติที่เป็นเลิศ (Best Practices) รวมถึงกรณีศึกษาต่างๆ เพื่อให้ผู้เรียน เข้าใจและรู้วิธี ที่จะนำไปปฏิบัติงานจริงได้ในการเปลี่ยนรูปองค์กร (Digital Transformation) ของตนให้เป็นองค์กรที่เป็นผู้ชนะในโลกที่ขับเคลื่อนด้วยข้อมูล
